Cast Vote Record,Precinct,Ballot Style,"AUTHORIZING THE TOWN OF SCITUATE TO ISSUE GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $1,700,000 TO FINANCE A NEW POLICE STATION"
583,Precinct 3003,Precinct 3003,Reject
584,Precinct 3003,Precinct 3003,Approve
585,Precinct 3003,Precinct 3003,Reject
586,Precinct 3003,Precinct 3003,Approve
587,Precinct 3003,Precinct 3003,Approve
588,Precinct 3003,Precinct 3003,Reject
589,Precinct 3003,Precinct 3003,Reject
590,Precinct 3003,Precinct 3003,Approve
591,Precinct 3003,Precinct 3003,Reject
592,Precinct 3003,Precinct 3003,Reject
593,Precinct 3003,Precinct 3003,Approve
594,Precinct 3003,Precinct 3003,Approve
595,Precinct 3003,Precinct 3003,Approve
596,Precinct 3003,Precinct 3003,Approve
597,Precinct 3003,Precinct 3003,Reject
598,Precinct 3003,Precinct 3003,Approve
599,Precinct 3003,Precinct 3003,Reject
600,Precinct 3003,Precinct 3003,Approve
601,Precinct 3003,Precinct 3003,Approve
602,Precinct 3003,Precinct 3003,Approve
603,Precinct 3003,Precinct 3003,Approve
604,Precinct 3003,Precinct 3003,Reject
605,Precinct 3003,Precinct 3003,Reject
606,Precinct 3003,Precinct 3003,Reject
607,Precinct 3003,Precinct 3003,Reject
608,Precinct 3003,Precinct 3003,Reject
609,Precinct 3003,Precinct 3003,Approve
610,Precinct 3003,Precinct 3003,Reject
611,Precinct 3003,Precinct 3003,Reject
612,Precinct 3003,Precinct 3003,Approve
613,Precinct 3003,Precinct 3003,Reject
614,Precinct 3003,Precinct 3003,Reject
615,Precinct 3003,Precinct 3003,Approve
616,Precinct 3003,Precinct 3003,Approve
617,Precinct 3003,Precinct 3003,Reject
618,Precinct 3003,Precinct 3003,Reject
619,Precinct 3003,Precinct 3003,Reject
620,Precinct 3003,Precinct 3003,Approve
621,Precinct 3003,Precinct 3003,Reject
622,Precinct 3003,Precinct 3003,Approve
623,Precinct 3003,Precinct 3003,Reject
624,Precinct 3003,Precinct 3003,Reject
625,Precinct 3003,Precinct 3003,Approve
626,Precinct 3003,Precinct 3003,Reject
627,Precinct 3003,Precinct 3003,Reject
628,Precinct 3003,Precinct 3003,Approve
629,Precinct 3003,Precinct 3003,Approve
630,Precinct 3003,Precinct 3003,Reject
631,Precinct 3003,Precinct 3003,Reject
632,Precinct 3003,Precinct 3003,Approve
633,Precinct 3003,Precinct 3003,Approve
634,Precinct 3003,Precinct 3003,Reject
635,Precinct 3003,Precinct 3003,Approve
636,Precinct 3003,Precinct 3003,Reject
637,Precinct 3003,Precinct 3003,Approve
638,Precinct 3003,Precinct 3003,Reject
639,Precinct 3003,Precinct 3003,Reject
